,year,rank,city,pop,latitude,longitude
0,1790,1,Philadelphia,44.1,39.952335,-75.16378900000001
1,1790,2,New York,33.1,40.7143528,-74.00597309999999
2,1790,3,Boston,18.3,42.3584308,-71.0597732
3,1790,4,Charleston,16.4,32.7765656,-79.93092159999999
4,1790,5,"Salem, MA",13.6,42.51954,-70.8967155
5,1790,6,Baltimore,13.5,39.2903848,-76.6121893
6,1790,7,"Newport, RI",6.7,41.4901024,-71.3128285
7,1790,8,Providence,6.4,41.8239891,-71.4128343
8,1790,9,"Gloucester, MA",5.3,42.6159285,-70.6619888
9,1790,10,"Newburyport, MA",4.8,42.8125913,-70.87727509999999
10,1790,11,"Portsmouth, NH",4.7,43.0717552,-70.7625532
11,1790,12,Nantucket,4.6,41.2834704,-70.099451
12,1790,13,"Middleborough, MA",4.5,41.8929942,-70.9107708
13,1790,14,New Haven,4.5,41.308274,-72.9278835
14,1790,15,Richmond,3.8,37.5407246,-77.4360481
15,1790,16,Albany,3.5,42.6525793,-73.7562317
16,1790,17,Norfolk,3.0,36.8507689,-76.28587259999999
17,1790,18,"Petersburg, VA",2.8,37.2279279,-77.40192669999999
18,1790,19,"Alexandria, VA",2.8,38.8048355,-77.0469214
19,1790,20,Hartford,2.7,41.76371109999999,-72.6850932
20,1800,1,Philadelphia,61.6,39.952335,-75.16378900000001
21,1800,2,New York,60.5,40.7143528,-74.00597309999999
22,1800,3,Baltimore,26.5,39.2903848,-76.6121893
23,1800,4,Boston,24.9,42.3584308,-71.0597732
24,1800,5,Charleston,18.8,32.7765656,-79.93092159999999
25,1800,6,"Salem, MA",14.7,42.51954,-70.8967155
26,1800,7,Washington,11.2,38.90723089999999,-77.0364641
27,1800,8,Providence,7.6,41.8239891,-71.4128343
28,1800,9,Norfolk,6.9,36.8507689,-76.28587259999999
29,1800,10,"Newport, RI",6.7,41.4901024,-71.3128285
30,1800,11,"Newburyport, MA",6.0,42.8125913,-70.87727509999999
31,1800,12,Richmond,5.7,37.5407246,-77.4360481
32,1800,13,Nantucket,5.6,41.2834704,-70.099451
33,1800,14,"Portsmouth, NH",5.3,43.0717552,-70.7625532
34,1800,15,"Gloucester, MA",5.3,42.6159285,-70.6619888
35,1800,16,"Schenectady, NY",5.3,42.8142432,-73.9395687
36,1800,17,Albany,5.3,42.6525793,-73.7562317
37,1800,18,"New London, CT",5.2,41.3556539,-72.0995209
38,1800,19,Savannah,5.2,32.0835407,-81.09983419999999
39,1800,20,"Middleborough, MA",4.5,41.8929942,-70.9107708
40,1810,1,New York,101.0,40.7143528,-74.00597309999999
41,1810,2,Philadelphia,87.3,39.952335,-75.16378900000001
42,1810,3,Baltimore,46.6,39.2903848,-76.6121893
43,1810,4,Boston,38.7,42.3584308,-71.0597732
44,1810,5,Charleston,24.7,32.7765656,-79.93092159999999
45,1810,6,"Salem, MA",23.1,42.51954,-70.8967155
46,1810,7,Washington,20.4,38.90723089999999,-77.0364641
47,1810,8,New Orleans,17.2,29.95106579999999,-90.0715323
48,1810,9,Albany,10.8,42.6525793,-73.7562317
49,1810,10,Providence,10.1,41.8239891,-71.4128343
50,1810,11,Richmond,9.7,37.5407246,-77.4360481
51,1810,12,Norfolk,9.2,36.8507689,-76.28587259999999
52,1810,13,"Newport, RI",7.9,41.4901024,-71.3128285
53,1810,14,"Newburyport, MA",7.6,42.8125913,-70.87727509999999
54,1810,15,"Portland, ME",7.2,43.66147100000001,-70.2553259
55,1810,16,"Portsmouth, NH",6.9,43.0717552,-70.7625532
56,1810,17,Nantucket,6.8,41.2834704,-70.099451
57,1810,18,"Gloucester, MA",5.9,42.6159285,-70.6619888
58,1810,19,"Schenectady, NY",5.9,42.8142432,-73.9395687
59,1810,20,New Haven,5.8,41.308274,-72.9278835
60,1820,1,New York,131.0,40.7143528,-74.00597309999999
61,1820,2,Philadelphia,109.0,39.952335,-75.16378900000001
62,1820,3,Baltimore,62.7,39.2903848,-76.6121893
63,1820,4,Boston,54.0,42.3584308,-71.0597732
64,1820,5,Washington,28.8,38.90723089999999,-77.0364641
65,1820,6,New Orleans,27.2,29.95106579999999,-90.0715323
66,1820,7,Charleston,24.8,32.7765656,-79.93092159999999
67,1820,8,"Salem, MA",22.6,42.51954,-70.8967155
68,1820,9,Albany,17.9,42.6525793,-73.7562317
69,1820,10,Richmond,12.1,37.5407246,-77.4360481
70,1820,11,Providence,11.8,41.8239891,-71.4128343
71,1820,12,Cincinnati,9.6,39.1031182,-84.5120196
72,1820,13,"Portland, ME",8.6,43.66147100000001,-70.2553259
73,1820,14,Norfolk,8.5,36.8507689,-76.28587259999999
74,1820,15,Savannah,7.5,32.0835407,-81.09983419999999
75,1820,16,"Portsmouth, NH",7.3,43.0717552,-70.7625532
76,1820,17,"Newport, RI",7.3,41.4901024,-71.3128285
77,1820,18,Nantucket,7.3,41.2834704,-70.099451
78,1820,19,Pittsburgh,7.3,40.44062479999999,-79.9958864
79,1820,20,New Haven,7.2,41.308274,-72.9278835
80,1830,1,New York,215.0,40.7143528,-74.00597309999999
81,1830,2,Philadelphia,161.0,39.952335,-75.16378900000001
82,1830,3,Boston,85.6,42.3584308,-71.0597732
83,1830,4,Baltimore,80.6,39.2903848,-76.6121893
84,1830,5,New Orleans,46.1,29.95106579999999,-90.0715323
85,1830,6,Albany,35.8,42.6525793,-73.7562317
86,1830,7,Washington,35.5,38.90723089999999,-77.0364641
87,1830,8,Charleston,30.3,32.7765656,-79.93092159999999
88,1830,9,"Salem, MA",27.3,42.51954,-70.8967155
89,1830,10,Cincinnati,24.8,39.1031182,-84.5120196
90,1830,11,Providence,22.4,41.8239891,-71.4128343
91,1830,12,Richmond,16.1,37.5407246,-77.4360481
92,1830,13,Pittsburgh,15.4,40.44062479999999,-79.9958864
93,1830,14,Newark,14.4,40.735657,-74.1723667
94,1830,15,"Portland, ME",12.6,43.66147100000001,-70.2553259
95,1830,16,Louisville,10.3,38.2526647,-85.7584557
96,1830,17,New Haven,10.2,41.308274,-72.9278835
97,1830,18,Norfolk,9.8,36.8507689,-76.28587259999999
98,1830,19,Rochester,9.2,43.16103,-77.6109219
99,1830,20,Buffalo,8.7,42.88644679999999,-78.8783689
